fpid,name,position,team,bye,ffc_adp,fp_pts,wwo_pts,blend_pts,source,diff,wwo_7d_delta,ciely_pts
17298,Josh Allen,QB,BUF,7,33.3,372.5,370.4,369.5,blendC,-2.1,0.0,364.0
22968,Jahmyr Gibbs,RB,DET,6,1.5,337.4,348.0,338.8,blendC,10.6,0.0,341.5
17233,Lamar Jackson,QB,BAL,13,55.7,325.0,313.6,324.9,blendC,-11.4,0.0,324.6
23046,Drake Maye,QB,NE,11,51.3,320.4,326.0,324.4,blendC,5.6,0.0,332.0
22902,Jayden Daniels,QB,WAS,7,72.2,322.5,300.8,319.7,blendC,-21.7,-2.0,314.5
23133,Bijan Robinson,RB,ATL,11,2.3,318.4,325.0,318.5,blendC,6.6,0.0,318.7
19275,Jalen Hurts,QB,PHI,10,80.4,320.5,320.6,318.4,blendC,0.1,0.0,314.7
19196,Joe Burrow,QB,CIN,6,57.4,310.9,321.0,314.2,blendC,10.1,0.0,320.3
23160,Jaxson Dart,QB,NYG,8,118.3,309.8,282.6,309.3,blendC,-27.1,0.0,308.3
19797,Brock Purdy,QB,SF,8,86.9,307.5,305.3,309.2,blendC,-2.2,0.0,312.3
15600,Dak Prescott,QB,DAL,14,64.0,306.2,293.6,307.5,blendC,-12.6,0.0,309.8
19780,Trevor Lawrence,QB,JAC,7,90.1,306.2,320.0,306.1,blendC,13.8,0.0,306.0
16393,Christian McCaffrey,RB,SF,8,6.9,295.4,302.6,304.4,blendC,7.2,0.0,321.1
16413,Patrick Mahomes II,QB,KC,5,103.6,303.0,276.4,303.2,blendC,-26.6,4.0,303.4
23084,Caleb Williams,QB,CHI,10,92.1,301.4,303.3,301.6,blendC,1.9,0.0,301.9
22910,Bo Nix,QB,DEN,10,114.2,298.2,296.6,298.3,blendC,-1.6,0.0,298.5
18635,Justin Herbert,QB,LAC,7,108.1,299.6,303.9,297.2,blendC,4.3,0.0,292.7
9451,Matthew Stafford,QB,LAR,11,73.0,294.0,283.6,293.9,blendC,-10.4,0.0,293.9
19217,Jonathan Taylor,RB,IND,13,5.9,288.7,282.1,291.9,blendC,-6.6,0.0,297.8
15501,Jared Goff,QB,DET,6,99.4,287.8,296.9,291.1,blendC,9.1,0.0,297.2
19788,Ja'Marr Chase,WR,CIN,6,4.0,275.4,274.2,284.7,blendC,-1.2,0.0,301.9
23180,Puka Nacua,WR,LAR,11,2.9,281.3,282.6,283.4,blendC,1.3,0.0,287.3
23096,Tyler Shough,QB,NO,8,139.2,285.4,272.3,282.2,blendC,-13.1,0.0,276.3
17237,Baker Mayfield,QB,TB,10,135.7,281.9,286.5,281.5,blendC,4.6,0.0,280.8
18600,Kyler Murray,QB,MIN,6,135.8,280.3,265.8,280.6,blendC,-14.4,-1.0,281.3
23070,Jaxon Smith-Njigba,WR,SEA,11,5.1,270.8,259.0,279.2,blendC,-11.8,0.0,294.8
23499,Malik Willis,QB,MIA,6,164.4,270.2,255.8,275.4,blendC,-14.4,0.0,285.2
19246,Jordan Love,QB,GB,11,153.0,270.6,274.3,272.3,blendC,3.7,0.0,275.5
18232,Daniel Jones,QB,IND,13,164.5,274.6,239.9,269.9,blendC,-34.7,4.0,261.2
17236,Sam Darnold,QB,SEA,11,145.6,266.6,269.5,264.8,blendC,2.9,0.0,261.6
23071,C.J. Stroud,QB,HOU,8,158.3,260.8,263.5,263.4,blendC,2.6,0.0,268.0
15514,Derrick Henry,RB,BAL,13,9.8,264.8,263.8,259.7,blendC,-0.9,0.0,250.3
23136,De'Von Achane,RB,MIA,6,11.5,259.7,246.2,258.6,blendC,-13.5,0.0,256.5
22958,James Cook III,RB,BUF,7,9.3,253.9,278.0,257.6,blendC,24.0,0.0,264.3
19799,Amon-Ra St. Brown,WR,DET,6,7.7,261.1,257.1,257.3,blendC,-4.0,0.0,250.0
25324,Chase Brown,RB,CIN,6,14.7,246.7,245.4,253.4,blendC,-1.3,6.0,265.8
22900,Bryce Young,QB,CAR,5,174.0,255.8,238.2,252.1,blendC,-17.6,-2.0,245.3
17240,Saquon Barkley,RB,PHI,10,17.1,243.8,249.0,244.0,blendC,5.2,0.0,244.5
23021,Kenneth Walker III,RB,KC,5,20.4,235.2,230.7,241.7,blendC,-4.5,0.0,253.6
24755,Cam Ward,QB,TEN,9,163.6,232.4,236.8,241.0,blendC,4.4,-2.0,256.8
25395,Omarion Hampton,RB,LAC,7,23.3,229.1,245.7,234.4,blendC,16.6,0.0,244.2
15642,Jacoby Brissett,QB,ARI,,,230.8,171.3,228.1,blendC,-59.5,0.0,223.1
25989,Ashton Jeanty,RB,LV,13,24.3,232.4,249.3,226.8,blendC,16.8,-4.8,216.4
23059,Kyren Williams,RB,LAR,11,27.7,223.2,233.3,226.4,blendC,10.0,0.0,232.2
11687,Geno Smith,QB,NYJ,,,234.8,238.2,226.3,blendC,3.4,0.0,210.4
9001,Aaron Rodgers,QB,PIT,,,223.5,219.5,225.2,blendC,-4.0,-2.0,228.3
22739,Javonte Williams,RB,DAL,14,33.8,217.8,233.9,224.0,blendC,16.1,0.0,235.5
19202,CeeDee Lamb,WR,DAL,14,12.5,224.3,231.3,223.6,blendC,7.0,0.0,222.3
22982,Breece Hall,RB,NYJ,13,33.1,222.2,227.0,223.3,blendC,4.8,0.0,225.5
19236,Justin Jefferson,WR,MIN,6,13.9,223.4,220.8,222.5,blendC,-2.5,0.0,220.9
23163,Drake London,WR,ATL,11,12.5,227.1,220.3,220.5,blendC,-6.8,0.0,208.3
22963,George Pickens,WR,DAL,14,19.1,210.8,200.5,217.9,blendC,-10.3,0.0,231.3
19231,Travis Etienne Jr.,RB,NO,8,37.0,213.9,203.0,216.6,blendC,-11.0,0.0,221.5
18218,A.J. Brown,WR,NE,11,18.0,212.4,217.0,214.6,blendC,4.5,0.0,218.5
25403,Jeremiyah Love,RB,ARI,14,30.2,228.6,211.1,214.5,blendC,-17.5,0.0,188.3
25981,Bucky Irving,RB,TB,10,47.7,199.8,188.7,212.7,blendC,-11.0,0.0,236.7
23113,Rashee Rice,WR,KC,5,16.6,219.8,201.6,212.2,blendC,-18.2,0.0,198.0
20111,Chris Olave,WR,NO,8,22.3,214.1,200.5,211.3,blendC,-13.6,0.0,206.2
20130,Nico Collins,WR,HOU,8,21.1,206.7,213.9,208.4,blendC,7.2,0.0,211.7
22955,Brock Bowers,TE,LV,13,42.9,195.4,196.2,205.4,blendC,0.9,0.0,224.2
27166,Cam Skattebo,RB,NYG,8,39.7,212.2,205.2,205.2,blendC,-7.0,0.0,192.3
